"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.036492,1.0006,-0.005293,0,-2.6943,-3.1397,0
0.036166,1.0009,-0.0068105,0,-2.6179,-3.1397,0
0.035759,1.0013,-0.0083315,0,-2.5414,-3.1397,0
0.035265,1.0019,-0.009842,0,-2.465,-3.1397,0
0.034681,1.0025,-0.011336,0,-2.3886,-3.1397,0
0.034005,1.0032,-0.012809,0,-2.3121,-3.1397,0
0.033237,1.0039,-0.01426,0,-2.2357,-3.1397,0
0.032377,1.0048,-0.015684,0,-2.1593,-3.1397,0
0.031425,1.0057,-0.01708,0,-2.0828,-3.1397,0
0.030381,1.0068,-0.018445,0,-2.0064,-3.1397,0
0.029246,1.0079,-0.019774,0,-1.93,-3.1397,0
0.028021,1.0091,-0.021065,0,-1.8536,-3.1397,0
0.026707,1.0103,-0.022314,0,-1.7771,-3.1397,0
0.025305,1.0117,-0.023516,0,-1.7007,-3.1397,0
0.023817,1.0131,-0.024668,0,-1.6243,-3.1397,0
0.022246,1.0146,-0.025766,0,-1.5478,-3.1397,0
0.020595,1.0162,-0.026805,0,-1.4714,-3.1397,0
0.018868,1.0178,-0.027781,0,-1.395,-3.1397,0
0.017069,1.0195,-0.028689,0,-1.3185,-3.1397,0
0.015204,1.0213,-0.029524,0,-1.2421,-3.1397,0
0.013278,1.0231,-0.030284,0,-1.1657,-3.1397,0
0.011298,1.025,-0.030962,0,-1.0893,-3.1397,0
0.0092724,1.0269,-0.031557,0,-1.0128,-3.1397,0
0.0072087,1.0289,-0.032063,0,-0.9364,-3.1397,0
0.005116,1.0309,-0.032478,0,-0.85997,-3.1397,0
0.0030043,1.033,-0.032798,0,-0.78354,-3.1397,0
0.00078462,1.0349,-0.032787,8.7534e-24,-0.70711,-3.1397,0
0.040143,1,0,0,-3,-2.9966,0
0.040116,1,-0.0012192,0,-2.9236,-2.9966,0
0.040022,1.0001,-0.0026449,0,-2.8471,-2.9966,0
0.039846,1.0003,-0.0042237,0,-2.7707,-2.9966,0
