# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
63           	((1.195268e-03 -5.255871e-03 8.198659e-22) (3.243332e-05 2.594556e-06 4.686426e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.697651e-23 3.952180e-22 1.086480e-03) (-9.795429e-25 1.174320e-23 -4.495703e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
64           	((1.195133e-03 -5.206286e-03 8.287650e-22) (3.272693e-05 2.648689e-06 4.662079e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.722945e-23 3.980911e-22 1.066738e-03) (-9.757624e-25 1.170196e-23 -4.630929e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
65           	((1.196190e-03 -5.147866e-03 8.367614e-22) (3.298397e-05 2.696438e-06 4.708580e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.746065e-23 4.007102e-22 1.043549e-03) (-9.852385e-25 1.182855e-23 -4.744437e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
66           	((1.190524e-03 -5.175889e-03 8.302099e-22) (3.327060e-05 2.742354e-06 4.816221e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.751823e-23 4.009221e-22 1.053296e-03) (-1.013212e-24 1.214425e-23 -4.855373e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
67           	((1.189472e-03 -5.130793e-03 8.334645e-22) (3.346001e-05 2.780663e-06 4.706219e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.765630e-23 4.024078e-22 1.035867e-03) (-9.879837e-25 1.186489e-23 -4.931920e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
68           	((1.194036e-03 -4.983701e-03 8.421042e-22) (3.357569e-05 2.812685e-06 4.620593e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.779754e-23 4.042013e-22 9.811507e-04) (-9.668127e-25 1.163163e-23 -4.998367e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
69           	((1.204762e-03 -4.830521e-03 8.459966e-22) (3.367504e-05 2.839704e-06 4.674611e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.786467e-23 4.050428e-22 9.208192e-04) (-9.806559e-25 1.179493e-23 -5.055333e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
70           	((1.216481e-03 -4.678680e-03 8.471909e-22) (3.373204e-05 2.854900e-06 4.675428e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.789916e-23 4.054336e-22 8.610218e-04) (-9.818026e-25 1.182374e-23 -5.078831e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
71           	((1.225830e-03 -4.536883e-03 8.456295e-22) (3.375890e-05 2.878935e-06 4.726876e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.787856e-23 4.051565e-22 8.061256e-04) (-9.923729e-25 1.195081e-23 -5.149364e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
72           	((1.231600e-03 -4.414136e-03 8.428488e-22) (3.378053e-05 2.900495e-06 4.692136e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.783536e-23 4.046008e-22 7.597132e-04) (-9.861442e-25 1.188535e-23 -5.214087e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
