# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
68           	((4.960964e-03 -2.110594e-02 3.495758e-21) (1.052710e-04 1.119762e-05 1.637192e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.563175e-22 1.672312e-21 4.153857e-03) (-3.426709e-24 4.109957e-23 -1.882195e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
69           	((5.009402e-03 -2.025724e-02 3.499891e-21) (1.047604e-04 1.135958e-05 1.618110e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.561851e-22 1.671261e-21 3.820901e-03) (-3.392279e-24 4.075540e-23 -1.953939e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
70           	((5.035450e-03 -1.969755e-02 3.542404e-21) (1.044015e-04 1.147934e-05 1.653840e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.570592e-22 1.681796e-21 3.603056e-03) (-3.463753e-24 4.163609e-23 -2.008901e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
71           	((5.093436e-03 -1.881351e-02 3.563243e-21) (1.036674e-04 1.160599e-05 1.608865e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.572124e-22 1.684333e-21 3.259176e-03) (-3.377157e-24 4.064336e-23 -2.073370e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
72           	((5.138429e-03 -1.807690e-02 3.569389e-21) (1.029404e-04 1.170035e-05 1.642164e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.572817e-22 1.685311e-21 2.973187e-03) (-3.450046e-24 4.153478e-23 -2.125299e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
73           	((5.165340e-03 -1.743660e-02 3.568576e-21) (1.021416e-04 1.177161e-05 1.658761e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.572755e-22 1.685210e-21 2.730697e-03) (-3.486520e-24 4.200204e-23 -2.168397e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
74           	((5.174423e-03 -1.689755e-02 3.562766e-21) (1.013487e-04 1.182608e-05 1.664219e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.572081e-22 1.684267e-21 2.532887e-03) (-3.501232e-24 4.221017e-23 -2.203569e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
75           	((5.171631e-03 -1.642602e-02 3.555901e-21) (1.005345e-04 1.187251e-05 1.672270e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.571442e-22 1.683304e-21 2.364915e-03) (-3.520190e-24 4.246299e-23 -2.236493e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
76           	((5.165357e-03 -1.597058e-02 3.547591e-21) (9.966974e-05 1.190552e-05 1.677522e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.570547e-22 1.682021e-21 2.204966e-03) (-3.533330e-24 4.263845e-23 -2.265496e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
77           	((5.162602e-03 -1.548508e-02 3.535673e-21) (9.876455e-05 1.194930e-05 1.676483e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.568716e-22 1.679659e-21 2.034007e-03) (-3.530790e-24 4.262197e-23 -2.302399e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
