"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.018233,1.0163,-0.0067502,0,-0.80901,-4.3322,0
-0.018803,1.0169,-0.0067041,0,-0.75806,-4.3322,0
-0.019374,1.0174,-0.0066238,1.2753e-23,-0.70711,-4.3322,0
-0.0011879,1,0,0,-3,-4.2368,0
-0.0011948,1,-0.00019654,0,-2.949,-4.2368,0
-0.0012187,1,-0.00044772,0,-2.8981,-4.2368,0
-0.0012628,1.0001,-0.00073966,0,-2.8471,-4.2368,0
-0.0013265,1.0001,-0.0010543,0,-2.7962,-4.2368,0
-0.0014096,1.0002,-0.0013789,0,-2.7452,-4.2368,0
-0.001514,1.0003,-0.0017045,0,-2.6943,-4.2368,0
-0.0016419,1.0005,-0.0020277,0,-2.6433,-4.2368,0
-0.0017942,1.0007,-0.0023473,0,-2.5924,-4.2368,0
-0.0019709,1.0008,-0.0026626,0,-2.5414,-4.2368,0
-0.0021717,1.0011,-0.0029729,0,-2.4905,-4.2368,0
-0.0023963,1.0013,-0.0032777,0,-2.4395,-4.2368,0
-0.0026443,1.0015,-0.0035765,0,-2.3886,-4.2368,0
-0.0029153,1.0018,-0.0038687,0,-2.3376,-4.2368,0
-0.0032091,1.0021,-0.0041539,0,-2.2867,-4.2368,0
-0.0035251,1.0025,-0.0044316,0,-2.2357,-4.2368,0
-0.0038628,1.0028,-0.0047012,0,-2.1847,-4.2368,0
-0.0042218,1.0032,-0.0049624,0,-2.1338,-4.2368,0
-0.0046015,1.0035,-0.0052146,0,-2.0828,-4.2368,0
-0.0050013,1.0039,-0.0054576,0,-2.0319,-4.2368,0
-0.0054205,1.0044,-0.0056908,0,-1.9809,-4.2368,0
-0.0058584,1.0048,-0.0059139,0,-1.93,-4.2368,0
-0.0063144,1.0053,-0.0061266,0,-1.879,-4.2368,0
-0.0067877,1.0057,-0.0063285,0,-1.8281,-4.2368,0
-0.0072776,1.0062,-0.0065194,0,-1.7771,-4.2368,0
-0.007783,1.0067,-0.0066989,0,-1.7262,-4.2368,0
-0.0083033,1.0072,-0.0068667,0,-1.6752,-4.2368,0
-0.0088374,1.0078,-0.0070228,0,-1.6243,-4.2368,0
-0.0093845,1.0083,-0.0071668,0,-1.5733,-4.2368,0
-0.0099435,1.0088,-0.0072985,0,-1.5224,-4.2368,0
-0.010513,1.0094,-0.0074179,0,-1.4714,-4.2368,0
-0.011093,1.01,-0.0075248,0,-1.4205,-4.2368,0
-0.011682,1.0105,-0.0076191,0,-1.3695,-4.2368,0
-0.012278,1.0111,-0.0077007,0,-1.3185,-4.2368,0
-0.012881,1.0117,-0.0077696,0,-1.2676,-4.2368,0
-0.013489,1.0123,-0.0078256,0,-1.2166,-4.2368,0
-0.014101,1.0129,-0.007869,0,-1.1657,-4.2368,0
-0.014716,1.0135,-0.0078996,0,-1.1147,-4.2368,0
-0.015332,1.0141,-0.0079175,0,-1.0638,-4.2368,0
-0.015949,1.0147,-0.0079229,0,-1.0128,-4.2368,0
-0.016565,1.0153,-0.0079158,0,-0.96187,-4.2368,0
-0.017179,1.0158,-0.0078963,0,-0.91092,-4.2368,0
-0.017789,1.0164,-0.0078648,0,-0.85997,-4.2368,0
-0.018395,1.017,-0.0078213,0,-0.80901,-4.2368,0
-0.018994,1.0176,-0.0077659,0,-0.75806,-4.2368,0
-0.019596,1.0182,-0.00767,-1.6633e-22,-0.70711,-4.2368,0
-0.00051461,1,0,0,-3,-4.1414,0
-0.00052179,1,-0.0002247,0,-2.949,-4.1414,0
-0.00054671,1,-0.00051189,0,-2.8981,-4.1414,0
